Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;1050.0;0.07;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;605.0;0.04;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;455.0;0.03;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;519.9;615.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_Парапет_Утеплитель_100мм;470.0;195.0;0.01;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;205.0;0.01;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;365.0;0.03;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_Парапет_Утеплитель_100мм;470.0;365.0;0.02;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;50.0;95.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;45.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_Парапет_Утеплитель_100мм;470.0;1300.0;0.06;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;1040.0;0.08;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;1200.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;1050.0;0.07;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
