Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.076;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;6635.000;0.149;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;895.000;0.038;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_ОтделкаПомещений_ПоБетону_15мм;2820.000;1200.000;0.051;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;1405.000;0.059;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;2995.000;0.062;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.076;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.076;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3185.000;0.068;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3200.000;0.068;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3230.000;0.093;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3230.000;0.093;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3200.000;0.068;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
