Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;431.6;0.15;125.0;Этаж 04 (отм. +10,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;1465.0;0.52;125.0;Этаж 04 (отм. +10,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;2112.5;0.50;125.0;Этаж 04 (отм. +10,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;1720.0;0.61;125.0;Этаж 04 (отм. +10,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;910.0;0.32;125.0;Этаж 02 (отм. +4,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;2690.0;0.44;125.0;Этаж 02 (отм. +4,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;431.6;0.15;125.0;Этаж 02 (отм. +4,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;1465.0;0.52;125.0;Этаж 02 (отм. +4,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;2112.5;0.50;125.0;Этаж 02 (отм. +4,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;1720.0;0.61;125.0;Этаж 02 (отм. +4,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;910.0;0.32;125.0;Этаж 05 (отм. +13,050);Секция 5;Перегородка ГКЛ
